Code,Smiles
IS00120,Fc1cc(F)cc(c1)C1CCCO1
IS00121,C1COC(C1)c1ccccc1
IS00122,CC1CCC(O1)c1cccc2ccccc12
IS00123,CC1CCC(O1)c1ccccc1
IS00124,C1CCC(OC1)c1cccc2ccccc12
IS00125,CCCc1nn(C)c2c1nc([nH]c2=O)-c1ccccc1OCC
IS00126,CCCc1nn(C)c2c1nc([nH]c2=O)-c1cc(OC)c(OC)cc1OC
IS00127,CCCc1nn(C)c2c1nc([nH]c2=O)-c1cccnc1
IS00129,CCCc1nn(C)c2c1nc([nH]c2=O)-c1ccc(OC)c(Br)c1
IS00130,CCCc1nn(C)c2c1nc([nH]c2=O)-c1ccc(O)cc1
IS00131,CCCc1nn(C)c2c1nc([nH]c2=O)-c1cccc(Cl)c1
IS00132,CCCc1nn(C)c2c1nc([nH]c2=O)-c1cc(C)cc(C)c1
IS00133,CCCc1nn(C)c2c1nc([nH]c2=O)-c1ccc(OC)c(F)c1
IS00134,CCCc1nn(C)c2c1nc([nH]c2=O)-c1ccc(Cl)cc1
IS00135,CCCc1nn(C)c2c1nc([nH]c2=O)-c1ccc(F)c(Br)c1
IS00136,CCCc1nn(C)c2c1nc([nH]c2=O)-c1cccc(F)c1
IS00137,CCCc1nn(C)c2c1nc([nH]c2=O)-c1ccc(OC)c(OC)c1
IS00138,Oc1ccc2ccccc2c1C1NC(=O)c2ccccc2N1
IS00139,COc1ccc(C2NC(=O)c3ccccc3N2)c2ccccc12
IS00140,O=C1NC(Nc2ccccc12)c1cccc2ncccc12
IS00141,COc1ccc(cc1)[C@H]1N2C(Cc3c1[nH]c1ccccc31)C(=O)N(Cc1ccccc1)C(=O)C2=O
IS00142,CCCCN1C(=O)C2Cc3c([nH]c4ccccc34)C(N2C(=O)C1=O)c1ccc(OC)cc1
IS00143,CCCN1C(=O)C2Cc3c([nH]c4ccccc34)C(N2C(=O)C1=O)c1ccc(OC)cc1
